City,Area,total_sqft,BHK,Parking,AC,Wifi,Lift,Security,Price,Price_per_sqft
Banglore,RR Nagar,1145,2,1,0,0,1,1,47.23,4125.0
Banglore,Krishnarajapura,1175,3,0,0,0,0,0,44.65,3800.0
Banglore,Varthur,1216,2,1,0,0,1,1,89.54,7363.0
Banglore,Other,1005,2,0,0,0,0,0,40.0,3980.0
Banglore,Other,1200,2,0,0,0,0,0,54.0,4500.0
Banglore,Other,1279,2,1,0,0,1,1,87.84,6868.0
Banglore,Nayandahalli,1180,2,1,0,0,1,1,79.0,6695.0
Banglore,Electronic City Phase 2,1310,3,1,0,0,1,1,47.81,3650.0
Banglore,Other,1776,3,1,0,0,1,1,150.0,8446.0
Banglore,Horamavu,1125,2,1,0,0,1,1,47.0,4178.0
Banglore,Muneshwara Nagar,1195,3,0,0,0,1,0,77.67,6500.0
Banglore,Thanisandra,1272,2,1,0,0,1,1,64.87,5100.0
Banglore,Junnasandra,2170,3,1,0,0,1,1,140.0,6452.0
Banglore,RR Nagar,1510,3,0,0,0,0,0,87.58,5800.0
Banglore,Other,1170,2,0,0,0,0,0,55.0,4701.0
Banglore,Other,1215,2,0,0,0,0,0,49.0,4033.0
Banglore,Horamavu,1045,2,0,0,0,1,1,45.45,4349.0
Banglore,Other,1100,2,0,0,0,1,0,75.0,6818.0
Banglore,Kudlu,900,2,0,0,0,1,1,37.79999,4200.0
Banglore,Varthur,1216,2,1,0,0,1,1,89.54,7363.0
Banglore,Varthur,1216,2,1,0,0,1,1,89.54,7363.0
Banglore,Electronic City Phase 2,1505,3,1,0,0,1,1,82.18,5460.0
Banglore,Jakkur,1502,3,1,0,0,1,1,86.56,5763.0
Banglore,Doddanekundi,1675,3,0,0,0,1,0,75.2,4490.0
Banglore,Begur,1805,3,1,0,0,1,1,110.0,6094.0
Banglore,Begur,1880,3,1,0,0,1,1,113.99999,6064.0
Banglore,Begur,2180,4,1,0,0,1,1,130.0,5963.0
Banglore,Begur,1850,3,1,0,0,1,1,112.99999,6108.0
Banglore,Doddanekundi,1350,2,0,0,0,1,0,67.36,4990.0
Banglore,Doddanekundi,1650,3,0,0,0,1,0,82.33,4990.0
Banglore,Doddanekundi,1355,3,0,0,0,1,0,67.61,4990.0
Banglore,Doddanekundi,1325,2,0,0,0,1,0,66.11,4989.0
Banglore,Doddanekundi,1260,2,0,0,0,1,0,62.87,4990.0
Banglore,Doddanekundi,1290,2,0,0,0,1,0,64.37,4990.0
Banglore,Doddanekundi,1225,2,0,0,0,1,0,61.12,4989.0
Banglore,Doddanekundi,1300,2,0,0,0,1,0,64.87,4990.0
Banglore,Kengeri,1152,2,1,0,0,1,1,47.22,4099.0
Banglore,Kengeri,1119,2,1,0,0,1,1,45.86,4098.0
Banglore,Kengeri,1118,2,1,0,0,1,1,45.82,4098.0
Banglore,Kengeri,1656,3,1,0,0,1,1,67.87,4098.0
Banglore,Horamavu,1629,3,1,0,0,1,1,93.19,5721.0
Banglore,Horamavu,1237,2,1,0,0,1,1,68.92,5572.0
Banglore,Bommanahalli,1275,2,1,0,0,0,1,92.77,7276.0
Banglore,Bommanahalli,1615,3,1,0,0,0,1,116.0,7183.0
Banglore,Bommanahalli,1515,3,1,0,0,0,1,109.0,7195.0
Banglore,Bommanahalli,1455,3,1,0,0,0,1,105.0,7216.0
Banglore,Bommanahalli,1360,3,1,0,0,0,1,98.59,7249.0
Banglore,Ramamurthy Nagar,1409,3,1,0,0,1,1,69.73999,4950.0
Banglore,Ramamurthy Nagar,1139,2,1,0,0,1,1,57.05,5009.0
Banglore,Ramamurthy Nagar,1154,2,1,0,0,1,1,57.72,5002.0
Banglore,Ramamurthy Nagar,1353,3,1,0,0,1,1,67.20999,4967.0
Banglore,Ramamurthy Nagar,1362,3,1,0,0,1,1,67.61,4964.0
Banglore,Ramamurthy Nagar,1133,2,1,0,0,1,1,56.77,5011.0
Banglore,Ramamurthy Nagar,1068,2,1,0,0,1,1,53.84,5041.0
Banglore,Whitefield Hope Farm Junction,1540,3,0,0,0,0,1,91.41,5936.0
Banglore,Whitefield Hope Farm Junction,1610,3,0,0,0,0,1,95.22,5914.0
Banglore,Whitefield Hope Farm Junction,1715,3,0,0,0,0,1,100.0,5831.0
Banglore,Whitefield Hope Farm Junction,1195,2,0,0,0,0,1,72.11,6034.0
Banglore,Whitefield Hope Farm Junction,1425,3,0,0,0,0,1,85.14,5975.0
Banglore,Whitefield Hope Farm Junction,1760,3,0,0,0,0,1,103.0,5852.0
Banglore,Whitefield Hope Farm Junction,1300,2,0,0,0,0,1,77.83,5987.0
Banglore,Whitefield Hope Farm Junction,1235,2,0,0,0,0,1,74.29,6015.0
Banglore,Whitefield Hope Farm Junction,1305,2,0,0,0,0,1,78.09999,5985.0
Banglore,Electronic City Phase 1,660,1,1,0,0,0,1,35.06,5312.0
Banglore,Electronic City Phase 1,1120,2,1,0,0,0,1,62.5,5580.0
Banglore,Electronic City Phase 1,1120,2,1,0,0,0,1,62.5,5580.0
Banglore,Electronic City Phase 1,715,1,1,0,0,0,1,37.97999,5312.0
Banglore,Electronic City Phase 1,715,1,1,0,0,0,1,37.97999,5312.0
Banglore,Electronic City Phase 1,910,2,1,0,0,0,1,50.34,5532.0
Banglore,Electronic City Phase 1,910,2,1,0,0,0,1,50.34,5532.0
Banglore,Electronic City Phase 1,1430,3,1,0,0,0,1,78.97,5522.0
Banglore,Electronic City Phase 1,1430,3,1,0,0,0,1,78.97,5522.0
Banglore,Electronic City Phase 1,965,2,1,0,0,0,1,53.27,5520.0
Banglore,Electronic City Phase 1,965,2,1,0,0,0,1,53.27,5520.0
Banglore,Electronic City Phase 1,1500,3,1,0,0,0,1,82.69,5513.0
Banglore,Electronic City Phase 1,1500,3,1,0,0,0,1,82.69,5513.0
Banglore,Electronic City Phase 1,1065,2,1,0,0,0,1,59.58,5594.0
Banglore,Electronic City Phase 1,1065,2,1,0,0,0,1,59.58,5594.0
Banglore,Yelahanka,1273,2,1,0,0,1,1,69.0,5420.0
Banglore,Yelahanka,1705,3,1,0,0,1,1,97.0,5689.0
Banglore,Yelahanka,1304,2,1,0,0,1,1,73.0,5598.0
Banglore,Anjanapura,1700,3,1,0,0,1,1,91.8,5400.0
Banglore,Carmelaram,1277,2,0,0,0,1,1,69.86,5471.0
Banglore,Carmelaram,1111,2,0,0,0,1,1,60.81,5473.0
Banglore,Carmelaram,1443,3,0,0,0,1,1,78.91,5468.0
Banglore,Carmelaram,1109,2,0,0,0,1,1,60.7,5473.0
Banglore,Carmelaram,1089,2,0,0,0,1,1,59.61,5474.0
Banglore,Carmelaram,1544,3,0,0,0,1,1,84.42,5468.0
